model,accuracy,precision,recall,f1,roc_auc,pr_auc
lightgbm,0.9992451107756047,0.7433628318584071,0.8571428571428571,0.7962085308056872,0.982711166205368,0.876608004791387
xgboost,0.9986657771847899,0.5743243243243243,0.8673469387755102,0.6910569105691057,0.9822158921249986,0.8551990005970544
random_forest,0.9994908886626171,0.8791208791208791,0.8163265306122449,0.8465608465608465,0.978361726654646,0.8737940341814443
logistic_regression,0.9726308767248341,0.054844606946983544,0.9183673469387755,0.10350776308223117,0.973585830998128,0.7290021907058886
